region,site_name,lawa_site_id,indicator,year,days_measured,exceed_who_daily,exceed_nes_daily
Canterbury,St Albans EP,LAWA-102877,PM2.5,2021,29,0,
Canterbury,St Albans EP,LAWA-102877,PM2.5,2022,365,43,
Canterbury,St Albans EP,LAWA-102877,PM2.5,2023,358,39,
Canterbury,St Albans EP,LAWA-102877,PM2.5,2024,363,44,
Canterbury,Waimate Kennedy,LAWA-100159,PM10,2016,357,3,1.0
Canterbury,Waimate Kennedy,LAWA-100159,PM10,2017,355,3,3.0
Canterbury,Waimate Kennedy,LAWA-100159,PM10,2018,354,0,0.0
Canterbury,Waimate Kennedy,LAWA-100159,PM10,2019,360,4,2.0
Canterbury,Waimate Kennedy,LAWA-100159,PM10,2020,366,2,0.0
Canterbury,Waimate Kennedy,LAWA-100159,PM10,2021,365,1,0.0
Canterbury,Waimate Kennedy,LAWA-100159,PM10,2022,365,0,0.0
Canterbury,Waimate Kennedy,LAWA-100159,PM10,2023,365,2,1.0
Canterbury,Waimate Kennedy,LAWA-100159,PM10,2024,366,0,0.0
Canterbury,Waimate Kennedy,LAWA-100159,PM2.5,2016,356,73,
Canterbury,Waimate Kennedy,LAWA-100159,PM2.5,2017,358,71,
Canterbury,Waimate Kennedy,LAWA-100159,PM2.5,2018,358,43,
Canterbury,Waimate Kennedy,LAWA-100159,PM2.5,2019,365,58,
Canterbury,Waimate Kennedy,LAWA-100159,PM2.5,2020,366,58,
Canterbury,Waimate Kennedy,LAWA-100159,PM2.5,2021,365,42,
Canterbury,Waimate Kennedy,LAWA-100159,PM2.5,2022,365,39,
Canterbury,Waimate Kennedy,LAWA-100159,PM2.5,2023,365,53,
Canterbury,Waimate Kennedy,LAWA-100159,PM2.5,2024,366,56,
Canterbury,Washdyke Alpine,LAWA-102266,PM10,2019,284,23,15.0
Canterbury,Washdyke Alpine,LAWA-102266,PM10,2020,366,41,23.0
Canterbury,Washdyke Alpine,LAWA-102266,PM10,2021,359,39,30.0
Canterbury,Washdyke Alpine,LAWA-102266,PM10,2022,364,45,21.0
Canterbury,Washdyke Alpine,LAWA-102266,PM10,2023,365,44,36.0
Canterbury,Washdyke Alpine,LAWA-102266,PM10,2024,366,40,27.0
Canterbury,Washdyke Alpine,LAWA-102266,PM2.5,2019,288,13,
Canterbury,Washdyke Alpine,LAWA-102266,PM2.5,2020,366,14,
Canterbury,Washdyke Alpine,LAWA-102266,PM2.5,2021,359,24,
Canterbury,Washdyke Alpine,LAWA-102266,PM2.5,2022,364,19,
Canterbury,Washdyke Alpine,LAWA-102266,PM2.5,2023,365,18,
Canterbury,Washdyke Alpine,LAWA-102266,PM2.5,2024,366,7,
Canterbury,Woolston,LAWA-100146,PM10,2016,366,6,4.0
Canterbury,Woolston,LAWA-100146,PM10,2017,361,11,3.0
Canterbury,Woolston,LAWA-100146,PM10,2018,365,6,4.0
Canterbury,Woolston,LAWA-100146,PM10,2019,365,7,5.0
Canterbury,Woolston,LAWA-100146,PM10,2020,365,8,7.0
Canterbury,Woolston,LAWA-100146,PM10,2021,365,3,1.0
Canterbury,Woolston,LAWA-100146,PM10,2022,362,4,2.0
Canterbury,Woolston,LAWA-100146,PM10,2023,365,1,1.0
Canterbury,Woolston,LAWA-100146,PM10,2024,362,1,1.0
Canterbury,Woolston,LAWA-100146,PM2.5,2016,350,27,
Canterbury,Woolston,LAWA-100146,PM2.5,2017,358,30,
Canterbury,Woolston,LAWA-100146,PM2.5,2018,365,21,
Canterbury,Woolston,LAWA-100146,PM2.5,2019,365,28,
Canterbury,Woolston,LAWA-100146,PM2.5,2020,365,26,
Canterbury,Woolston,LAWA-100146,PM2.5,2021,365,15,
Canterbury,Woolston,LAWA-100146,PM2.5,2022,362,20,
Canterbury,Woolston,LAWA-100146,PM2.5,2023,365,16,
Canterbury,Woolston,LAWA-100146,PM2.5,2024,362,26,
Gisborne,Gisborne Boys' High School,LAWA-100058,PM10,2019,73,3,1.0
Gisborne,Gisborne Boys' High School,LAWA-100058,PM10,2020,317,23,17.0
Gisborne,Gisborne Boys' High School,LAWA-100058,PM10,2021,334,25,19.0
Gisborne,Gisborne Boys' High School,LAWA-100058,PM10,2022,365,21,16.0
Gisborne,Gisborne Boys' High School,LAWA-100058,PM10,2023,323,7,4.0
Gisborne,Gisborne Boys' High School,LAWA-100058,PM10,2024,353,13,7.0
Gisborne,Gisborne Boys' High School,LAWA-100058,PM2.5,2019,84,10,
Gisborne,Gisborne Boys' High School,LAWA-100058,PM2.5,2020,318,67,
Gisborne,Gisborne Boys' High School,LAWA-100058,PM2.5,2021,334,67,
