region,site_name,lawa_site_id,indicator,year,mean_ugm3,days_measured,first_date,last_date,pct_coverage
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2021,9.522560471976401,339,2021-01-01 01:00:00,2021-12-31 01:00:00,92.9
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2022,12.278624242424241,330,2022-01-01 01:00:00,2022-12-31 01:00:00,90.4
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2023,11.42744520547945,292,2023-01-01 01:00:00,2023-12-31 01:00:00,80.0
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2024,10.159414364640885,362,2024-01-01 01:00:00,2024-12-31 01:00:00,99.2
Bay of Plenty,Tauranga at Sulphur Point,LAWA-102814,PM10,2018,13.100116279069766,129,2018-08-25 00:00:00,2018-12-31 01:00:00,35.3
Bay of Plenty,Tauranga at Sulphur Point,LAWA-102814,PM10,2019,13.811766483516484,364,2019-01-01 01:00:00,2019-12-31 01:00:00,99.7
Bay of Plenty,Tauranga at Sulphur Point,LAWA-102814,PM10,2020,12.792066666666667,360,2020-01-01 01:00:00,2020-12-31 01:00:00,98.6
Bay of Plenty,Tauranga at Sulphur Point,LAWA-102814,PM10,2021,13.482192837465565,363,2021-01-01 01:00:00,2021-12-31 01:00:00,99.5
Bay of Plenty,Tauranga at Sulphur Point,LAWA-102814,PM10,2022,13.544405555555555,360,2022-01-01 01:00:00,2022-12-31 01:00:00,98.6
Bay of Plenty,Whakatane at Kopeopeo,LAWA-100144,PM10,2017,13.261815789473683,228,2017-05-12 00:00:00,2017-12-31 01:00:00,62.5
Bay of Plenty,Whakatane at Kopeopeo,LAWA-100144,PM10,2018,12.414504373177843,343,2018-01-01 01:00:00,2018-12-31 01:00:00,94.0
